Domain,Company,Original_Name,PE Firm,Year,Source
edcon.com,Edcon,Edcon,Bain Capital companies,Unknown,Wikipedia
elevationsrtc.com,Elevations RTC,Elevations RTC,Bain Capital companies,Unknown,Wikipedia
emcurepharmaceuticals.com,Emcure Pharmaceuticals,Emcure Pharmaceuticals,Bain Capital companies,Unknown,Wikipedia
enterprisedb.com,EnterpriseDB,EnterpriseDB,Bain Capital companies,Unknown,Wikipedia
estiahealth.com,Estia Health,Estia Health,Bain Capital companies,Unknown,Wikipedia
esure.com,Esure,Esure,Bain Capital companies,Unknown,Wikipedia
excelacademyconroetexas.com,"Excel Academy (Conroe, Texas)","Excel Academy (Conroe, Texas)",Bain Capital companies,Unknown,Wikipedia
extrahopnetworks.com,ExtraHop Networks,ExtraHop Networks,Bain Capital companies,Unknown,Wikipedia
fedrigoni.com,Fedrigoni,Fedrigoni,Bain Capital companies,Unknown,Wikipedia
thefindcom.com,TheFind.com,TheFind.com,Bain Capital companies,Unknown,Wikipedia
fingerhut.com,Fingerhut,Fingerhut,Bain Capital companies,Unknown,Wikipedia
fogodecho.com,Fogo de Chão,Fogo de Chão,Bain Capital companies,Unknown,Wikipedia
fteautomotive.com,FTE automotive,FTE automotive,Bain Capital companies,Unknown,Wikipedia
gartner.com,Gartner,Gartner,Bain Capital companies,Unknown,Wikipedia
genpact.com,Genpact,Genpact,Bain Capital companies,Unknown,Wikipedia
gomeelectricalappliances.com,GOME Electrical Appliances,GOME Electrical Appliances,Bain Capital companies,Unknown,Wikipedia
guidehouse.com,Guidehouse,Guidehouse,Bain Capital companies,Unknown,Wikipedia
guitarcenter.com,Guitar Center,Guitar Center,Bain Capital companies,Unknown,Wikipedia
gymboree.com,Gymboree,Gymboree,Bain Capital companies,Unknown,Wikipedia
hcahealthcare.com,HCA Healthcare,HCA Healthcare,Kohlberg Kravis Roberts companies,Unknown,Wikipedia
hdsupply.com,HD Supply,HD Supply,The Carlyle Group companies,Unknown,Wikipedia
houghtonmifflinharcourt.com,Houghton Mifflin Harcourt,Houghton Mifflin Harcourt,Blackstone Inc. companies,Unknown,Wikipedia
hudl.com,Hudl,Hudl,Bain Capital companies,Unknown,Wikipedia
ibstock.com,Ibstock,Ibstock plc,Bain Capital companies,Unknown,Wikipedia
idealstandard.com,Ideal Standard,Ideal Standard,Bain Capital companies,Unknown,Wikipedia
iheartmedia.com,IHeartMedia,IHeartMedia,Bain Capital companies,Unknown,Wikipedia
inrix.com,INRIX,INRIX,Bain Capital companies,Unknown,Wikipedia
itpaero.com,ITP Aero,ITP Aero,Bain Capital companies,Unknown,Wikipedia
jackwolfskin.com,Jack Wolfskin,Jack Wolfskin,Blackstone Inc. companies,Unknown,Wikipedia
jetcom.com,Jet.com,Jet.com,Bain Capital companies,Unknown,Wikipedia
kbank.com,K Bank,K Bank,Bain Capital companies,Unknown,Wikipedia
kansascityboltandnutcompanyplant.com,Kansas City Bolt and Nut Company plant,Kansas City Bolt and Nut Company plant,Bain Capital companies,Unknown,Wikipedia
kantar.com,Kantar,Kantar Group,Bain Capital companies,Unknown,Wikipedia
kbtoys.com,KB Toys,KB Toys,Bain Capital companies,Unknown,Wikipedia
kioxia.com,Kioxia,Kioxia,Bain Capital companies,Unknown,Wikipedia
lilliputkidswear.com,Lilliput Kidswear,Lilliput Kidswear,Bain Capital companies,Unknown,Wikipedia
loewscineplexentertainment.com,Loews Cineplex Entertainment,Loews Cineplex Entertainment,The Carlyle Group companies,Unknown,Wikipedia
maisonsdumonde.com,Maisons du Monde,Maisons du Monde,Bain Capital companies,Unknown,Wikipedia
